year,cap_divided,cap_unified_eos,cap_divided_eos
1953,0,79,10
1954,0,74,0
1955,1,1,64
1956,1,0,44
1957,1,0,55
1958,1,0,50
1959,1,0,60
1960,1,0,42
1961,0,70,14
1962,0,89,0
1963,0,62,0
1964,0,56,0
1965,0,74,0
1966,0,57,0
1967,0,66,0
1968,0,56,0
1969,1,9,52
1970,1,0,72
1971,1,0,63
1972,1,0,55
1973,1,0,64
1974,1,0,69
1975,1,0,67
1976,1,0,56
1977,0,66,17
1978,0,78,0
1979,0,77,0
1980,0,73,0
1981,1,26,50
1982,1,0,63
1983,1,0,57
1984,1,0,41
1985,1,0,45
1986,1,0,37
1987,1,0,43
1988,1,0,41
1989,1,0,36
1990,1,0,43
1991,1,0,46
1992,1,0,40
1993,0,57,6
1994,0,54,0
1995,1,0,40
1996,1,0,49
1997,1,0,38
1998,1,0,38
1999,1,0,35
2000,1,0,41
2001,0,54,12
2002,0,31,0
2003,0,41,0
2004,0,45,0
2005,0,26,0
2006,0,27,0
2007,1,1,31
2008,1,0,30
2009,0,39,5
2010,0,35,0
2011,1,1,33
2012,1,0,36
2013,1,0,20
2014,1,0,31
2015,1,0,29
2016,1,0,42
2017,0,55,7
2018,1,0,37
2019,1,0,45
2020,1,0,69
2021,0,77,14
2022,0,29,0
2023,1,0,24
2024,1,0,19
2025,0,210,13
